winner,loser,degree,expert
6029,7138,1,DW
5087,4008,3,DW
6092,7114,0,DW
6088,6053,1,DW
4035,7060,1,DW
4026,7045,1,DW
7109,6062,1,DW
5064,6086,1,DW
6088,6025,2,DW
7136,6096,1,DW
8083,7060,1,DW
7136,7060,1,DW
6062,6029,1,DW
6025,6095,1,DW
6094,7114,1,DW
6068,7163,1,DW
7109,8083,1,DW
8083,6029,1,DW
6046,7153,0,DW
6088,7138,2,DW
6046,5064,0,DW
7163,7045,1,DW
6062,7045,1,DW
6068,7136,1,DW
7138,7064,0,DW
5064,7163,0,DW
6088,6046,1,DW
6053,6086,1,DW
7138,6053,0,DW
4008,7060,2,DW
6095,8083,1,DW
7109,5118,0,DW
7128,6029,1,DW
5118,7045,1,DW
4035,5087,1,DW
4035,7128,2,DW
6053,6062,1,DW
8083,7163,1,DW
4008,4026,1,DW
6094,7128,1,DW
6062,7114,1,DW
4035,7116,1,DW
7116,6086,1,DW
7045,6025,0,DW
4026,7138,1,DW
4026,6095,1,DW
4026,6053,1,DW
6068,6053,0,DW
4008,6095,1,DW
7109,6068,1,DW
7138,7114,0,DW
7045,6046,1,DW
7128,6025,1,DW
5118,6053,1,DW
7128,6046,1,DW
7116,6062,2,DW
6096,6062,1,DW
4035,6096,1,DW
5087,6062,1,DW
6025,6046,1,DW
6088,7114,1,DW
7116,7136,1,DW
6088,7045,1,DW
8083,6068,1,DW
6088,6095,1,DW
6094,7153,1,DW
4026,6086,1,DW
6025,7114,1,DW
7136,5118,1,DW
6046,6029,0,DW
7138,6095,0,DW
7109,5064,1,DW
6096,7138,1,DW
6068,6029,0,DW
8083,6092,1,DW
7064,7109,0,DW
4008,6053,1,DW
7128,7153,1,DW
6096,6046,1,DW
6088,4008,1,DW
7138,8083,0,DW
6088,7163,1,DW
5064,6053,0,DW
6025,6029,1,DW
6096,5064,1,DW
6096,7163,1,DW
7045,5064,0,DW
5064,4008,0,DW
7109,7045,1,DW
4035,7163,1,DW
5087,6029,1,DW
7109,7136,1,DW
6046,5118,0,DW
7153,6029,1,DW
6095,6086,1,DW
7064,7163,1,DW
7116,6046,1,DW
4008,7163,1,DW
4035,6094,1,DW
5118,7060,1,DW
6095,6096,1,DW
6094,6046,1,DW
4035,6053,1,DW
7045,7114,0,DW
7064,6094,1,DW
5087,6053,1,DW
5087,6094,2,DW
7064,6092,1,DW
7138,6062,1,DW
7114,7136,1,DW
5064,7114,0,DW
5087,6088,2,DW
6025,6053,1,DW
7128,6068,1,DW
5087,4026,0,DW
7116,5064,1,DW
7064,6062,0,DW
6088,6096,1,DW
6068,6046,1,DW
4008,6092,1,DW
7153,4026,1,DW
6025,7064,1,DW
7128,7109,1,DW
7116,8083,1,DW
4035,7136,2,DW
4008,5118,1,DW
4035,6029,1,DW
7163,6025,1,DW
6088,6092,1,DW
6029,6092,0,DW
7128,6053,1,DW
6086,7109,1,DW
6096,6092,1,DW
5087,6025,1,DW
7138,5118,1,DW
6088,8083,1,DW
6088,5118,1,DW
6053,8083,0,DW
7064,4026,0,DW
6025,6092,0,DW
6088,4026,1,DW
4008,7128,1,DW
6086,7060,0,DW
6029,7045,1,DW
7116,7060,1,DW
6062,6086,1,DW
